iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
92	4.218979999999999	False	0.8633200000000001	0.8779000000000001	0.9133999999999999	0.70104	[32]	16	32	0.001	400	0.1	0.2	0.2	2.0	2.0	0.001	leaky_relu	0.2	False	True
93	4.0916	False	0.83736	0.8887	0.9372199999999999	0.59096	[256, 256]	16	16	0.001	300	0.01	0.3	0.1	6.0	2.0	1e-05	relu	0.2	False	False
94	3.7613399999999997	False	0.72344	0.7915	0.8516400000000001	0.67132	[256, 128]	64	64	5e-05	300	0.1	0.2	0.1	1.0	0.25	0.0	gelu	0.2	True	False
95	4.1759	False	0.84762	0.8827200000000002	0.9335600000000002	0.6643800000000001	[32]	32	16	0.0005	400	0.05	0.4	0.2	6.0	0.5	0.001	leaky_relu	0.1	False	False
96	4.10952	False	0.8480599999999999	0.86358	0.9048999999999999	0.6449199999999999	[128, 128]	64	128	0.0001	500	0.02	0.1	0.05	2.0	0.5	0.0	gelu	0.1	True	True
97	4.29916	False	0.91252	0.9034599999999999	0.95304	0.61762	[128, 128]	32	128	0.0002	200	0.0	0.5	0.4	4.0	0.25	1e-05	silu	0.0	True	True
98	3.84322	False	0.77092	0.81594	0.8907999999999999	0.59464	[32]	128	32	0.0001	400	0.05	0.2	0.05	0.5	2.0	0.0	relu	0.05	False	False
99	3.8278200000000004	False	0.80698	0.8688600000000001	0.9173600000000001	0.4276400000000001	[256, 256]	64	32	0.0001	500	0.01	0.3	0.1	1.0	0.5	0.0	silu	0.05	True	False
100	3.9002399999999993	False	0.75072	0.80604	0.86894	0.7238199999999999	[128, 128]	8	8	5e-05	400	0.01	0.3	0.05	1.0	0.5	1e-05	relu	0.2	True	True
101	4.23594	False	0.8685599999999999	0.8938600000000001	0.94152	0.66344	[128, 64]	16	16	0.0001	400	0.01	0.5	0.2	6.0	1.0	1e-05	silu	0.1	True	False
102	3.8950599999999995	False	0.8597199999999999	0.8950400000000001	0.9352199999999999	0.34536	[256, 256]	32	8	0.0002	300	0.1	0.4	0.05	0.5	1.0	0.0	gelu	0.0	True	True
103	2.66214	False	0.44054000000000004	0.57418	0.7047800000000001	0.5021	[32]	8	128	5e-05	500	0.0	0.1	0.05	4.0	1.0	1e-05	silu	0.0	False	False
104	3.7808	False	0.72676	0.79524	0.86464	0.6674	[256, 128]	64	128	0.0002	200	0.01	0.5	0.2	4.0	0.5	0.0	leaky_relu	0.2	False	True
105	3.9526200000000005	False	0.85642	0.88616	0.93728	0.41634000000000004	[128]	16	16	0.001	400	0.02	0.5	0.3	6.0	2.0	0.0	gelu	0.1	False	False
106	4.089919999999999	False	0.8484	0.8694200000000001	0.9079	0.6158	[128]	32	64	5e-05	400	0.01	0.2	0.2	2.0	1.0	1e-05	leaky_relu	0.0	False	False
107	4.0017000000000005	False	0.7628199999999999	0.8189599999999999	0.8456400000000001	0.81146	[256, 128, 64]	16	16	5e-05	400	0.0	0.4	0.3	6.0	1.0	1e-05	relu	0.2	True	False
108	3.6370599999999995	False	0.693	0.7687200000000001	0.83088	0.6514599999999999	[256, 256]	8	32	0.0001	200	0.05	0.1	0.3	4.0	0.25	0.0	leaky_relu	0.1	True	True
109	3.68634	False	0.7277800000000001	0.7837400000000001	0.86188	0.5851599999999999	[128]	8	128	5e-05	400	0.1	0.3	0.2	1.0	0.25	0.0001	leaky_relu	0.0	False	False
110	2.6551	False	0.43956	0.526	0.6652199999999999	0.58476	[128, 64]	8	64	5e-05	300	0.05	0.1	0.2	2.0	0.25	1e-05	gelu	0.1	False	True
111	4.11826	False	0.8448399999999999	0.8808	0.92724	0.6205399999999999	[64]	8	8	0.0002	200	0.01	0.5	0.4	6.0	0.5	0.0001	relu	0.0	False	True
112	4.0725	False	0.8556000000000001	0.89076	0.93822	0.5323200000000001	[256]	64	64	0.0002	400	0.05	0.3	0.1	4.0	1.0	0.001	silu	0.05	False	True
113	4.28822	False	0.8952399999999999	0.89082	0.944	0.6629200000000001	[256, 256]	8	8	0.0005	300	0.02	0.3	0.2	6.0	0.25	0.001	leaky_relu	0.1	True	False
114	3.9705800000000004	False	0.7595599999999999	0.8336399999999999	0.89754	0.7202799999999999	[256, 128, 64]	32	8	0.0001	500	0.01	0.1	0.3	0.5	2.0	0.001	leaky_relu	0.2	True	False
115	4.003580000000001	False	0.8516600000000001	0.88548	0.9309	0.48388	[256]	32	128	0.0005	400	0.1	0.4	0.1	2.0	1.0	0.0	relu	0.1	False	True
116	4.083060000000001	False	0.8512000000000001	0.88536	0.9317399999999999	0.56356	[128, 128]	128	32	0.0002	200	0.05	0.5	0.3	6.0	2.0	0.001	relu	0.0	True	False
117	4.31666	False	0.91354	0.9005599999999999	0.9429599999999999	0.6460600000000001	[256]	64	32	5e-05	200	0.1	0.5	0.1	6.0	1.0	0.001	leaky_relu	0.1	True	True
118	4.1795	False	0.86046	0.8893400000000001	0.9377799999999998	0.63146	[128]	16	64	0.0002	400	0.01	0.3	0.05	4.0	1.0	0.001	relu	0.05	True	False
