seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	path	method	display_method	impute_seed	cluster_seed	label_column	batch_column	n_cells	n_genes	n_labels	n_batches	feature_mode
43	50	15	2.0	34	0.3413641572393648	0.7137821098185472	0.14127730144283124	0.31937519979743156	0.02905643917620182	0.39824523287825286	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	50	30	0.2	11	0.8115380711356719	0.8651809381822427	0.09568696426305011	0.14277111381168692	0.02905643917620182	0.6752822340931743	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	50	30	0.5	15	0.6045320637272596	0.8211457752177596	0.17353527012375267	0.2606665225534524	0.02905643917620182	0.6731496350839734	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	50	30	1.0	22	0.4902744886431272	0.7726330211638892	0.2055685621088687	0.32137699196990555	0.02905643917620182	0.6734991029370576	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	50	30	1.5	26	0.4409020445969382	0.7505046708550366	0.1850886789843213	0.33070419659154826	0.02905643917620182	0.657354653114453	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	50	30	2.0	29	0.38543809571979837	0.7329981829853971	0.16774811106856566	0.33698367833359716	0.02905643917620182	0.6610562610439956	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	10	0.2	15	0.8272232803135755	0.8818165620122506	0.10224124657857322	0.16977255147567336	0.02058611810207367	0.35813780687749386	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	10	0.5	19	0.5757548436060588	0.8022083112193088	0.18146674411823466	0.27978194655078825	0.02058611810207367	0.3513507980387658	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	10	1.0	26	0.4582509681843815	0.7541689322270344	0.19306017371545664	0.32931099244649126	0.02058611810207367	0.3464727981481701	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	10	1.5	30	0.40139119056937717	0.7338383230880867	0.1743875212407696	0.3270549296498036	0.02058611810207367	0.3516209360677749	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	10	2.0	36	0.3547331788807042	0.7145236108193106	0.15371519220465812	0.3256725612186137	0.02058611810207367	0.3519538650289178	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	15	0.2	14	0.7094833950593805	0.834003623676958	0.13436293870349678	0.19518067348219137	0.02058611810207367	0.4337689729873091	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
